"search-number","evaluation","turret-adjust*","vision-angle1*","vision-dist1*","vision-angle2*","vision-dist2*","vision-angle3*","vision-dist3*","v1?*","v2?*","v3?*","seen-chance1*","seen-chance2*","seen-chance3*","num-replicates","best-fitness-so-far"
"1","1","-0.5","89","25","5","12","90","10","true","true","true","70","10","95","1","24.01159610448798"
"1","2","1","52","25","8","24","0","6","true","true","true","20","35","90","1","12.156053751338646"
"1","4","3","34","25","17","18.5","9","14.5","true","true","true","100","70","70","1","10.201902182163257"
"1","36","3","34","25","17","11.5","6","4.5","true","true","true","55","25","70","1","9.991337493023776"
"1","44","0","28","25","64","8","97","1","true","true","true","80","55","35","1","9.148334197336506"
"1","46","-0.5","15","25","76","8","97","1","true","true","true","80","55","70","1","8.960291968750294"
"1","68","-0.5","15","25","64","8","97","1","true","true","true","80","55","70","1","8.619270800574427"
"1","78","-0.5","15","25","76","8","97","4.5","true","true","true","55","25","65","1","8.617596476002017"
"1","86","-0.5","15","25","64","8","97","1","true","true","true","80","65","70","1","8.477924218236009"
"1","89","0","15","25","76","8","97","4.5","true","true","true","80","55","70","1","8.417976050121222"
"1","94","0.5","15","25","64","8","97","1","true","true","true","80","55","70","1","8.273911134903337"
"1","95","0.5","15","25","64","8","97","1","true","true","true","80","55","75","1","8.273911134903333"
"1","105","0.5","15","25","64","8","97","4.5","true","true","true","80","55","70","1","7.948192454265314"
"1","114","0.5","15","25","64","8","97","4.5","true","true","true","80","55","75","1","7.9211125611669075"
"1","132","0.5","15","25","64","8","97","4.5","true","true","true","80","70","70","1","7.908990813385275"
"1","134","1","15","25","64","8","97","4.5","true","true","true","80","55","70","1","7.863443901875874"
"1","140","0.5","15","25","46","8","97","4.5","true","true","true","80","55","70","1","7.690049528998133"
"1","150","0.5","15","25","46","8","97","4.5","true","true","true","80","70","70","1","7.593201414574086"
"1","158","0.5","15","25","46","8","97","4.5","true","true","true","65","70","70","1","7.5255908073090625"
"1","167","1","15","25","46","8","97","4.5","true","true","true","80","70","70","1","7.490183725710638"
"1","172","1.5","15","25","46","8","97","4.5","true","true","true","65","70","70","1","7.328613593788949"
"1","185","1.5","15","25","46","8","97","4.5","true","true","true","65","75","70","1","7.306824797804121"
"1","189","1.5","15","25","46","8","88","4.5","true","true","true","65","70","70","1","7.201995642176054"
"1","193","2","15","25","46","8","88","4.5","true","true","true","65","70","70","1","7.132449377450879"
"1","213","2","15","25","46","8","88","4.5","true","true","true","65","85","70","1","7.067130574080817"
"1","219","2","15","25","46","8","88","3.5","true","true","true","65","85","70","1","6.992092571063354"
"1","220","3","15","25","46","8","88","4.5","true","true","true","65","85","70","1","6.972461147374634"
"1","224","3","15","25","46","8","88","3.5","true","true","true","65","85","70","1","6.885811768058357"
"1","237","3","15","25","46","8","88","3.5","true","true","true","60","85","70","1","6.877745940370984"
"1","238","3","10","25","46","8","88","3.5","true","true","true","65","85","70","1","6.876705271739035"
"1","246","3","10","25","46","8","86","3.5","true","true","true","65","85","70","1","6.872323580945359"
"1","249","3","10","25","46","8","86","3.5","true","true","true","70","85","70","1","6.858455596477167"
"1","259","3","10","25","46","8","86","3.5","true","true","true","65","85","85","1","6.823710474416385"
"1","264","3","10","25","46","8","86","3.5","true","true","true","70","85","85","1","6.810048393278784"
"1","272","3","12","25","46","8","86","3.5","true","true","true","70","85","85","1","6.750654588128135"
"1","291","3","10","25","46","8","86","3.5","true","true","true","70","90","95","1","6.748612712035166"
"1","311","3","14","25","46","8","86","3.5","true","true","true","70","90","95","1","6.700060191427921"
"1","317","3","14","25","47","8","86","3.5","true","true","true","70","90","95","1","6.696869558959497"
"1","319","3","14","25","47","8","86","3.5","true","true","true","70","95","95","1","6.689268892238412"
"1","323","3","14","25","47","8","86","3.5","true","true","true","70","90","100","1","6.563393647180317"
